
 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server

 2026-05-04 16:55:42 /admin/consultants .. ~ 4s
 127.0.0.1:55453 Invalid request (Unexpected EOF)
 2026-05-04 16:55:45 .. ~ 1.54ms
 2026-05-04 16:55:50 / .. ~ 1s
 2026-05-04 16:55:51 /favicon.svg .. ~ 8s
 2026-05-04 16:55:59 /favicon.svg .. ~ 0.81ms
 2026-05-04 16:55:59 /akbulut-emlak-logo-cropped.png .. ~ 0.98ms
 2026-05-04 16:56:00 /_boost/browser-logs .. ~ 1.08ms
 2026-05-04 16:56:00 /favicon.ico .. ~ 1.11ms
 2026-05-04 16:56:00 /akbulut-emlak-logo-cropped.png .. ~ 5.34ms
 2026-05-04 16:56:00 /favicon.ico .. ~ 0.80ms
 2026-05-04 16:56:00 /_boost/browser-logs .. ~ 0.44ms
 2026-05-04 16:56:09 /admin/consultants/8 .. ~ 513.94ms
 2026-05-04 16:56:10 /admin/consultants .. ~ 0.58ms
 2026-05-04 16:56:23 /admin/consultants/8 .. ~ 0.49ms
 2026-05-04 16:56:23 /admin/consultants .. ~ 0.21ms
 2026-05-04 16:56:27 /admin/consultants/8 .. ~ 0.50ms
 2026-05-04 16:56:27 /admin/consultants .. ~ 0.21ms
 2026-05-04 16:57:39 /admin/consultants .. ~ 502.42ms
 2026-05-04 16:57:39 /akbulut-emlak-logo-cropped.png .. ~ 505.28ms
 2026-05-04 16:57:40 /favicon.svg .. ~ 0.37ms
 2026-05-04 16:57:40 /_boost/browser-logs .. ~ 0.45ms
 2026-05-04 16:57:40 /favicon.ico .. ~ 0.34ms
 2026-05-04 16:57:59 /admin/consultants .. ~ 513.51ms
 2026-05-04 16:57:59 /akbulut-emlak-logo-cropped.png .. ~ 0.63ms
 2026-05-04 16:57:59 /favicon.svg .. ~ 0.50ms
 2026-05-04 16:57:59 /_boost/browser-logs .. ~ 0.34ms
 2026-05-04 16:57:59 /favicon.ico .. ~ 0.34ms
 2026-05-04 16:58:28 /danisman/eser-celik .. ~ 509.57ms
 2026-05-04 16:58:29 /akbulut-emlak-logo-cropped.png .. ~ 0.49ms
 2026-05-04 16:58:29 /storage/property-images/9/2RkgCfXKm475ETm6IUmKbQJIe3UrdbhYypptK7Ts.jpg .. ~ 0.50ms
 2026-05-04 16:58:29 /_boost/browser-logs .. ~ 0.34ms
 2026-05-04 16:58:33 /_boost/browser-logs .. ~ 519.08ms
 2026-05-04 16:58:33 /listings .. ~ 2s
 2026-05-04 16:58:35 /akbulut-emlak-logo-cropped.png .. ~ 507.91ms
 2026-05-04 16:58:30 /storage/property-images/9/2RkgCfXKm475ETm6IUmKbQJIe3UrdbhYypptK7Ts.jpg .. ~ 5s
 2026-05-04 16:58:35 /_boost/browser-logs .. ~ 0.73ms
 2026-05-04 16:58:44 /listings .. ~ 510.11ms
 2026-05-04 16:58:44 /akbulut-emlak-logo-cropped.png .. ~ 0.31ms
 2026-05-04 16:58:44 /_boost/browser-logs .. ~ 0.61ms
 2026-05-04 16:58:46 / .. ~ 509.20ms
 2026-05-04 16:58:47 /akbulut-emlak-logo-cropped.png .. ~ 0.36ms
 2026-05-04 16:58:47 /_boost/browser-logs .. ~ 1.03ms
 2026-05-04 16:58:52 /listings .. ~ 0.84ms
 2026-05-04 16:58:53 /akbulut-emlak-logo-cropped.png .. ~ 500.60ms
 2026-05-04 16:58:53 /_boost/browser-logs .. ~ 0.25ms
 2026-05-04 16:58:55 /_boost/browser-logs .. ~ 503.00ms
 2026-05-04 16:58:55 /admin/consultants .. ~ 30s
 2026-05-04 16:59:25 /akbulut-emlak-logo-cropped.png .. ~ 0.38ms
 2026-05-04 16:59:25 /favicon.svg .. ~ 321.28ms
 2026-05-04 16:59:25 /_boost/browser-logs .. ~ 0.38ms
 2026-05-04 16:59:25 /favicon.ico .. ~ 34.13ms
 2026-05-04 16:59:30 /admin/consultants .. ~ 32.92ms
 2026-05-04 16:59:30 /akbulut-emlak-logo-cropped.png .. ~ 0.45ms
 2026-05-04 16:59:31 /favicon.svg .. ~ 42.32ms
 2026-05-04 16:59:31 /_boost/browser-logs .. ~ 130.88ms
 2026-05-04 16:59:31 /favicon.ico .. ~ 164.24ms
 2026-05-04 16:59:49 /admin/consultants .. ~ 505.80ms
 2026-05-04 16:59:49 /akbulut-emlak-logo-cropped.png .. ~ 508.45ms
 2026-05-04 16:59:50 /_boost/browser-logs .. ~ 0.50ms
 2026-05-04 16:59:50 /favicon.svg .. ~ 0.31ms
 2026-05-04 16:59:50 /favicon.ico .. ~ 0.22ms
